benchmark,algorithm,time
npuzzle_3x3_len3_7.txt,astar,0.2534
npuzzle_3x3_len6_1.txt,bfs,0.2274
npuzzle_3x3_len6_1.txt,dfs,0.2293
npuzzle_3x3_len6_1.txt,astar,0.2431
npuzzle_5x5_len8_3.txt,bfs,0.247
npuzzle_5x5_len8_3.txt,dfs,0.2321
npuzzle_5x5_len8_3.txt,astar,0.2276
npuzzle_3x3_len9_0.txt,bfs,0.2271
npuzzle_3x3_len9_0.txt,dfs,0.2295
npuzzle_3x3_len9_0.txt,astar,0.2596
npuzzle_5x5_len2_9.txt,bfs,0.2384
npuzzle_5x5_len2_9.txt,dfs,0.244
npuzzle_5x5_len2_9.txt,astar,0.2228
npuzzle_3x3_len7_5.txt,bfs,0.2146
npuzzle_3x3_len7_5.txt,dfs,0.2171
npuzzle_3x3_len7_5.txt,astar,0.2157
npuzzle_5x5_len6_2.txt,bfs,0.2219
npuzzle_5x5_len6_2.txt,dfs,0.2359
npuzzle_5x5_len6_2.txt,astar,0.2357
npuzzle_4x4_len9_6.txt,bfs,0.2556
npuzzle_4x4_len9_6.txt,dfs,0.2334
npuzzle_4x4_len9_6.txt,astar,0.2206
npuzzle_4x4_len10_1.txt,bfs,0.2433
npuzzle_4x4_len10_1.txt,dfs,0.2201
npuzzle_4x4_len10_1.txt,astar,0.2229
npuzzle_4x4_len1_8.txt,bfs,0.2468
npuzzle_4x4_len1_8.txt,dfs,0.2457
npuzzle_4x4_len1_8.txt,astar,0.2222
npuzzle_5x5_len1_8.txt,bfs,0.2402
npuzzle_5x5_len1_8.txt,dfs,0.2475
npuzzle_5x5_len1_8.txt,astar,0.2082
npuzzle_4x4_len9_5.txt,bfs,0.2132
npuzzle_4x4_len9_5.txt,dfs,0.2252
npuzzle_4x4_len9_5.txt,astar,0.2325
npuzzle_4x4_len4_7.txt,bfs,0.2286
npuzzle_4x4_len4_7.txt,dfs,0.2176
npuzzle_4x4_len4_7.txt,astar,0.2174
npuzzle_4x4_len3_6.txt,bfs,0.2182
npuzzle_4x4_len3_6.txt,dfs,0.2431
npuzzle_4x4_len3_6.txt,astar,0.2407
npuzzle_4x4_len1_7.txt,bfs,0.2203
npuzzle_4x4_len1_7.txt,dfs,0.2213
npuzzle_4x4_len1_7.txt,astar,0.2339
npuzzle_5x5_len8_6.txt,bfs,0.2266
npuzzle_5x5_len8_6.txt,dfs,0.2256
npuzzle_5x5_len8_6.txt,astar,0.2244
npuzzle_4x4_len2_3.txt,bfs,0.227
npuzzle_4x4_len2_3.txt,dfs,0.2827
npuzzle_4x4_len2_3.txt,astar,0.2715
npuzzle_3x3_len7_6.txt,bfs,0.2282
npuzzle_3x3_len7_6.txt,dfs,0.2262
npuzzle_3x3_len7_6.txt,astar,0.2238
npuzzle_5x5_len9_3.txt,bfs,0.2952
npuzzle_5x5_len9_3.txt,dfs,0.2286
npuzzle_5x5_len9_3.txt,astar,0.2313
npuzzle_3x3_len8_6.txt,bfs,0.2429
npuzzle_3x3_len8_6.txt,dfs,0.2157
npuzzle_3x3_len8_6.txt,astar,0.2565
npuzzle_3x3_len10_7.txt,bfs,0.3029
npuzzle_3x3_len10_7.txt,dfs,0.2288
npuzzle_3x3_len10_7.txt,astar,0.2117
npuzzle_4x4_len10_2.txt,bfs,0.2153
npuzzle_4x4_len10_2.txt,dfs,0.2572
npuzzle_4x4_len10_2.txt,astar,0.2815
npuzzle_4x4_len8_2.txt,bfs,0.2318
npuzzle_4x4_len8_2.txt,dfs,0.223
npuzzle_4x4_len8_2.txt,astar,0.2582
npuzzle_3x3_len10_5.txt,bfs,0.2311
npuzzle_3x3_len10_5.txt,dfs,0.273
npuzzle_3x3_len10_5.txt,astar,0.2317
npuzzle_4x4_len6_6.txt,bfs,0.2236
npuzzle_4x4_len6_6.txt,dfs,0.2328
npuzzle_4x4_len6_6.txt,astar,0.2284
npuzzle_4x4_len1_5.txt,bfs,0.2364
npuzzle_4x4_len1_5.txt,dfs,0.2286
npuzzle_4x4_len1_5.txt,astar,0.2577
npuzzle_3x3_len7_2.txt,bfs,0.2406
npuzzle_3x3_len7_2.txt,dfs,0.236
npuzzle_3x3_len7_2.txt,astar,0.2255
npuzzle_4x4_len1_1.txt,bfs,0.2363
npuzzle_4x4_len1_1.txt,dfs,0.2289
npuzzle_4x4_len1_1.txt,astar,0.2215
npuzzle_3x3_len8_1.txt,bfs,0.2475
npuzzle_3x3_len8_1.txt,dfs,0.2269
npuzzle_3x3_len8_1.txt,astar,0.2567
npuzzle_4x4_len5_6.txt,bfs,0.2483
npuzzle_4x4_len5_6.txt,dfs,0.2269
npuzzle_4x4_len5_6.txt,astar,0.2235
npuzzle_4x4_len6_3.txt,bfs,0.2524
npuzzle_4x4_len6_3.txt,dfs,0.287
npuzzle_4x4_len6_3.txt,astar,0.2248
npuzzle_3x3_len6_8.txt,bfs,0.2247
npuzzle_3x3_len6_8.txt,dfs,0.2571
npuzzle_3x3_len6_8.txt,astar,0.2802
npuzzle_3x3_len7_7.txt,bfs,0.5271
npuzzle_3x3_len7_7.txt,dfs,0.2834
npuzzle_3x3_len7_7.txt,astar,0.2216
npuzzle_3x3_len9_5.txt,bfs,0.5707
npuzzle_3x3_len9_5.txt,dfs,0.2391
npuzzle_3x3_len9_5.txt,astar,0.2223
npuzzle_4x4_len7_7.txt,bfs,0.2233
npuzzle_4x4_len7_7.txt,dfs,0.2267
npuzzle_4x4_len7_7.txt,astar,0.2493
npuzzle_5x5_len1_5.txt,bfs,0.2253
npuzzle_5x5_len1_5.txt,dfs,0.2307
npuzzle_5x5_len1_5.txt,astar,0.2231
npuzzle_5x5_len8_7.txt,bfs,1.0198
npuzzle_5x5_len8_7.txt,dfs,0.2945
npuzzle_5x5_len8_7.txt,astar,0.2788
npuzzle_4x4_len7_6.txt,bfs,0.2587
npuzzle_4x4_len7_6.txt,dfs,0.2325
npuzzle_4x4_len7_6.txt,astar,0.2354
npuzzle_5x5_len2_4.txt,bfs,0.251
npuzzle_5x5_len2_4.txt,dfs,0.2488
npuzzle_5x5_len2_4.txt,astar,0.256
npuzzle_3x3_len10_0.txt,bfs,0.2815
npuzzle_3x3_len10_0.txt,dfs,0.3156
npuzzle_3x3_len10_0.txt,astar,0.4071
npuzzle_5x5_len4_8.txt,bfs,0.3844
npuzzle_5x5_len4_8.txt,dfs,0.3726
npuzzle_5x5_len4_8.txt,astar,0.2388
npuzzle_5x5_len5_6.txt,bfs,0.2435
npuzzle_5x5_len5_6.txt,dfs,0.2509
npuzzle_5x5_len5_6.txt,astar,0.284
npuzzle_4x4_len6_0.txt,bfs,0.2217
npuzzle_4x4_len6_0.txt,dfs,0.2287
npuzzle_4x4_len6_0.txt,astar,0.2251
npuzzle_4x4_len1_3.txt,bfs,0.2368
npuzzle_4x4_len1_3.txt,dfs,0.2296
npuzzle_4x4_len1_3.txt,astar,0.2338
npuzzle_3x3_len3_3.txt,bfs,0.2256
npuzzle_3x3_len3_3.txt,dfs,0.2231
npuzzle_3x3_len3_3.txt,astar,0.2382
npuzzle_3x3_len5_8.txt,bfs,0.2434
npuzzle_3x3_len5_8.txt,dfs,0.2166
npuzzle_3x3_len5_8.txt,astar,0.2135
npuzzle_3x3_len9_4.txt,bfs,0.2122
npuzzle_3x3_len9_4.txt,dfs,0.2236
npuzzle_3x3_len9_4.txt,astar,0.235
npuzzle_4x4_len9_8.txt,bfs,0.2217
npuzzle_4x4_len9_8.txt,dfs,0.2295
